Code,Group,Date,Invoice Date,ETD,ANA-4,Customer Code,Customer Group4(Industry Code)(Sub-Ledger),Item Code,Item Name,Qty,Currency,Price.,Exchange Rate,Amount (Transaction) (HKD),Cost(HKD),Group 5(Item),ANA-2,Location,Spec. Customer (Transaction),Industry Code (Transaction),
MPHK,1,20220112,,20220214,OUT,NEROSPEC-C,9000,103180200,102-04-13 24V 8 DIN,50,USD,38.0000 ,7.8000000 ,"14,820.00 ",,1101,MPJP,IN,,,
MPHK,1,20220112,,20220210,OUT,ELSHIN-C,8000,123149900,PSL-K-10,50,USD,12.2600 ,7.8000000 ,"4,781.40 ",,2602,MPJP,IN,STI_SG,1100,
MPHK,1,20220112,,20220210,OUT,ELSHIN-C,8000,121824100,SFC-010SA2-4B-5B,50,USD,14.1100 ,7.8000000 ,"5,502.90 ",,2301,MPJP,IN,STI_SG,1100,
MPHK,1,20220112,,20220210,OUT,ELSHIN-C,8000,121821700,SFC-005SA2-4B-5B,40,USD,15.6600 ,7.8000000 ,"4,885.92 ",,2301,MPJP,IN,STI_SG,1100,
MPHK,1,20220112,,20220210,OUT,ELSHIN-C,8000,127333400,SFC-002SA2-4B-5B,10,USD,15.6600 ,7.8000000 ,"1,221.48 ",,2301,MPJP,IN,STI_SG,1100,
MPHK,1,20220112,,20220210,OUT,ELSHIN-C,8000,124816300,SFC-030DA2-8B-14BJ,10,USD,30.3900 ,7.8000000 ,"2,370.42 ",,2301,MPJP,IN,AURIGIN,1100,
MPHK,1,20220112,,20220216,OUT,ELSHIN-C,8000,121482800,SFC-040SA2-10B-14B,60,USD,15.1000 ,7.8000000 ,"7,066.80 ",,2301,MPINDIA,OUT,STI_SG,1100,
MPHK,1,20220112,,20220216,OUT,ELSHIN-C,8000,121769900,SFC-030SA2-6B-8B,10,USD,12.2000 ,7.8000000 ,951.60 ,,2301,MPINDIA,OUT,STI_SG,1100,
MPHK,1,20220112,,20220216,OUT,ELSHIN-C,8000,121318400,SFC-030SA2-8B-10B,30,USD,12.2000 ,7.8000000 ,"2,854.80 ",,2301,MPINDIA,OUT,STI_SG,1100,
MPHK,1,20220112,,20220216,OUT,ELSHIN-C,8000,121585600,SFC-020SA2-6B-8B,30,USD,11.8000 ,7.8000000 ,"2,761.20 ",,2301,MPINDIA,OUT,STI_SG,1100,
MPHK,1,20220112,,20220216,OUT,ELSHIN-C,8000,121344500,SFC-030DA2-8B-8B,15,USD,15.1000 ,7.8000000 ,"1,766.70 ",,2301,MPINDIA,OUT,STI_SG,1100,
MPHK,1,20220112,,20220216,OUT,ELSHIN-C,8000,121437500,SFC-030DA2-10B-14B,50,USD,15.1000 ,7.8000000 ,"5,889.00 ",,2301,MPINDIA,OUT,AURIGIN,1100,
MPHK,1,20220112,,20220216,OUT,ELSHIN-C,8000,121478200,SFC-040DA2-12B-19B,4,USD,19.8000 ,7.8000000 ,617.76 ,,2301,MPINDIA,OUT,AURIGIN,1100,
MPHK,1,20220112,,20220216,OUT,ELSHIN-C,8000,121375500,SFC-020DA2-6B-8B,10,USD,14.2000 ,7.8000000 ,"1,107.60 ",,2301,MPINDIA,OUT,FA_SYSTEM,1100,
MPHK,1,20220112,,20220224,OUT,NAMSAE-C,8000,105468900,TT-4X-01-30-30-100NM,1,USD,356.0000 ,7.8000000 ,"2,776.80 ",,3105,MPJP,IN,,,
MPHK,1,20220112,,20220224,OUT,NAMSAE-C,8000,121510700,BXW-02-10H-24V-6,1,USD,22.1000 ,7.8000000 ,172.38 ,,1201,MPJP,IN,,,
MPHK,1,20220112,,20220224,OUT,NAMSAE-C,8000,***,SFF-070SS-T126N (25B-16BC),2,USD,126.0000 ,7.8000000 ,"1,965.60 ",,9909,MPJP,IN,,,
MPHK,1,20220112,,20220224,OUT,NAMSAE-C,8000,***,SFF-070SS-T125N (20B-16BC),2,USD,126.0000 ,7.8000000 ,"1,965.60 ",,9909,MPJP,IN,,,
